,asset,date,count
648,SRM,2022-03-09,699
649,SRM,2022-03-10,703
650,SRM,2022-03-11,708
651,SRM,2022-03-13,710
652,SRM,2022-03-16,711
653,mSOL,2021-12-21,112
654,mSOL,2021-12-22,241
655,mSOL,2021-12-23,307
656,mSOL,2021-12-24,393
657,mSOL,2021-12-25,492
658,mSOL,2021-12-26,554
659,mSOL,2021-12-27,562
660,mSOL,2021-12-28,573
661,mSOL,2021-12-31,588
662,mSOL,2022-01-01,590
663,mSOL,2022-01-02,610
664,mSOL,2022-01-03,764
665,mSOL,2022-01-04,765
666,mSOL,2022-01-05,844
667,mSOL,2022-01-06,912
668,mSOL,2022-01-07,968
669,mSOL,2022-01-08,1000
670,mSOL,2022-01-09,1035
671,mSOL,2022-01-10,1072
672,mSOL,2022-01-11,1101
673,mSOL,2022-01-12,1140
674,mSOL,2022-01-13,1183
675,mSOL,2022-01-14,1247
676,mSOL,2022-01-15,1335
677,mSOL,2022-01-16,1367
678,mSOL,2022-01-17,1427
679,mSOL,2022-01-18,1468
680,mSOL,2022-01-19,1496
681,mSOL,2022-01-20,1526
682,mSOL,2022-01-21,1555
683,mSOL,2022-01-22,1565
684,mSOL,2022-01-23,1580
685,mSOL,2022-01-24,1598
686,mSOL,2022-01-25,1614
687,mSOL,2022-01-26,1640
688,mSOL,2022-01-27,1667
689,mSOL,2022-01-28,1702
690,mSOL,2022-01-29,1714
691,mSOL,2022-01-30,1730
692,mSOL,2022-01-31,1743
693,mSOL,2022-02-01,1753
694,mSOL,2022-02-02,1770
695,mSOL,2022-02-03,1784
696,mSOL,2022-02-04,1804
697,mSOL,2022-02-05,1821
698,mSOL,2022-02-06,1838
699,mSOL,2022-02-07,1845
700,mSOL,2022-02-08,1851
701,mSOL,2022-02-09,1865
702,mSOL,2022-02-10,1875
703,mSOL,2022-02-11,1886
704,mSOL,2022-02-12,1892
705,mSOL,2022-02-13,1900
706,mSOL,2022-02-14,1905
707,mSOL,2022-02-15,1917
708,mSOL,2022-02-16,1925
709,mSOL,2022-02-17,1940
710,mSOL,2022-02-18,1949
711,mSOL,2022-02-19,1960
712,mSOL,2022-02-20,1966
713,mSOL,2022-02-21,1971
714,mSOL,2022-02-22,1976
715,mSOL,2022-02-23,1979
716,mSOL,2022-02-24,1988
717,mSOL,2022-02-25,1999
718,mSOL,2022-02-26,2007
719,mSOL,2022-02-27,2008
720,mSOL,2022-02-28,2011
721,mSOL,2022-03-01,2017
722,mSOL,2022-03-02,2024
723,mSOL,2022-03-03,2031
724,mSOL,2022-03-04,2036
725,mSOL,2022-03-05,2042
726,mSOL,2022-03-06,2048
727,mSOL,2022-03-07,2053
728,mSOL,2022-03-08,2056
729,mSOL,2022-03-09,2062
730,mSOL,2022-03-10,2070
731,mSOL,2022-03-11,2077
732,mSOL,2022-03-12,2086
733,mSOL,2022-03-13,2094
734,mSOL,2022-03-14,2099
735,mSOL,2022-03-15,2110
736,mSOL,2022-03-16,2115
737,scnSOL,2021-12-29,80
738,scnSOL,2021-12-30,252
739,scnSOL,2021-12-31,254
740,scnSOL,2022-01-03,255
741,scnSOL,2022-01-07,273
742,scnSOL,2022-01-08,275
743,scnSOL,2022-01-10,291
744,scnSOL,2022-01-11,336
745,scnSOL,2022-01-12,362
746,scnSOL,2022-01-13,402
747,scnSOL,2022-01-14,456
748,scnSOL,2022-01-17,457
749,scnSOL,2022-01-18,458
750,scnSOL,2022-01-19,459
751,scnSOL,2022-01-21,461
752,scnSOL,2022-01-26,462
753,scnSOL,2022-01-28,481
754,scnSOL,2022-01-29,495
755,scnSOL,2022-01-30,514
756,scnSOL,2022-01-31,521
757,scnSOL,2022-02-01,534
758,scnSOL,2022-02-02,541
759,scnSOL,2022-02-03,554
760,scnSOL,2022-02-04,562
761,scnSOL,2022-02-05,573
762,scnSOL,2022-02-06,581
763,scnSOL,2022-02-07,586
764,scnSOL,2022-02-08,594
765,scnSOL,2022-02-09,597
766,scnSOL,2022-02-10,601
767,scnSOL,2022-02-11,609
768,scnSOL,2022-02-12,615
769,scnSOL,2022-02-13,619
770,scnSOL,2022-02-14,620
771,scnSOL,2022-02-15,625
772,scnSOL,2022-02-16,629
773,scnSOL,2022-02-17,633
774,scnSOL,2022-02-18,637
775,scnSOL,2022-02-19,641
776,scnSOL,2022-02-20,643
777,scnSOL,2022-02-21,644
778,scnSOL,2022-02-22,645
779,scnSOL,2022-02-23,649
780,scnSOL,2022-02-24,651
781,scnSOL,2022-02-25,655
782,scnSOL,2022-02-26,657
783,scnSOL,2022-02-28,659
784,scnSOL,2022-03-01,661
785,scnSOL,2022-03-02,664
786,scnSOL,2022-03-03,665
787,scnSOL,2022-03-06,671
788,scnSOL,2022-03-08,674
789,scnSOL,2022-03-10,676
790,scnSOL,2022-03-12,678
