,amount,symbol,cash,date,signer,receiver,asset
1697,370.253955,USDC,USDC,2022-02-13T12:18:09Z,FvVnLn2KuxJwf1qQR4jrmWWLpHbwLwzpJt8kfJYUEDR2,FvVnLn2KuxJwf1qQR4jrmWWLpHbwLwzpJt8kfJYUEDR2,SOL
1698,3006.739157,USDC,USDC,2022-02-13T13:18:48Z,3v1dZz6pBA22xu6oE3EgFM5ctn4hZXMEHP6nfaRFFPou,3v1dZz6pBA22xu6oE3EgFM5ctn4hZXMEHP6nfaRFFPou,SOL
1699,1.393138,USDC,USDC,2022-02-13T14:38:31Z,D3iSX3rigN9VYzoKyWQLVWFRzao75FvKBGT5zjZpxGfj,D3iSX3rigN9VYzoKyWQLVWFRzao75FvKBGT5zjZpxGfj,SOL
1700,468.598723,USDC,USDC,2022-02-13T18:47:20Z,52YZn5yk6FcfmfFXabD7fcjR4cyrubMYrtyu7ryFX8TT,52YZn5yk6FcfmfFXabD7fcjR4cyrubMYrtyu7ryFX8TT,SOL
1701,1448.756957,USDC,USDC,2022-02-13T20:23:30Z,8tZiTV8ZLG3oMSyCDMWr7L4xdxjoT38pqzyNafS7MqSj,8tZiTV8ZLG3oMSyCDMWr7L4xdxjoT38pqzyNafS7MqSj,SOL
1702,12865.649957,USDC,USDC,2022-02-14T01:20:49Z,D35WuqFmbf765jsShZZNhKZWvki1rXd94HhwMvxLve21,D35WuqFmbf765jsShZZNhKZWvki1rXd94HhwMvxLve21,SOL
1703,100.052275,USDC,USDC,2022-02-14T05:46:05Z,4YS1eh7u2ryzA9RQRk5ci8ZfHu71BGvZagik7Kx1SbQJ,4YS1eh7u2ryzA9RQRk5ci8ZfHu71BGvZagik7Kx1SbQJ,SOL
1704,46.492551,USDC,USDC,2022-02-14T06:07:51Z,Bx8Z57oNxkYuhAL3Tp5FgDvLG2pBhecZhDdZmZjeNLyp,Bx8Z57oNxkYuhAL3Tp5FgDvLG2pBhecZhDdZmZjeNLyp,SOL
1705,21482.062609,USDC,USDC,2022-02-14T07:01:08Z,7C8f8dxxqQEZyKpHMWaQtfGckrkLgUYmfEH9tjcwB8HT,7C8f8dxxqQEZyKpHMWaQtfGckrkLgUYmfEH9tjcwB8HT,SOL
1706,850.00009,USDC,USDC,2022-02-14T09:20:00Z,EyMuiRSCwR1FSTCSW8BYLsU71knHTq6d24pUqg6bwi4s,EyMuiRSCwR1FSTCSW8BYLsU71knHTq6d24pUqg6bwi4s,ETH
